playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
beaumgi01,1903,PIT,NL,WS,CF,100.0,100.0,210.0,24.0,1.0,1.0,1.0,1.0,,,
branski01,1903,PIT,NL,WS,1B,100.0,100.0,210.0,89.0,19.0,38.0,39.0,1.0,,,
clarkfr01,1903,PIT,NL,WS,LF,100.0,100.0,210.0,21.0,1.0,13.0,1.0,1.0,,,
colliji01,1903,BOS,AL,WS,3B,100.0,100.0,213.0,11.0,55.0,13.0,9.0,1.0,,,
crigelo01,1903,BOS,AL,WS,C,100.0,100.0,213.0,60.0,22.0,38.0,16.0,1.0,1.0,,
dinnebi01,1903,BOS,AL,WS,P,43.0,50.0,106.0,3.0,28.0,1.0,1.0,1.0,,,
doughpa01,1903,BOS,AL,WS,LF,100.0,100.0,213.0,15.0,10.0,13.0,9.0,1.0,,,
ferriho01,1903,BOS,AL,WS,2B,100.0,100.0,213.0,21.0,70.0,26.0,16.0,1.0,,,
freembu01,1903,BOS,AL,WS,RF,100.0,100.0,213.0,12.0,1.0,1.0,1.0,1.0,,,
hugheto01,1903,BOS,AL,WS,P,1.0,13.0,7.0,1.0,1.0,1.0,1.0,1.0,,,
kennebr01,1903,PIT,NL,WS,P,1.0,13.0,22.0,1.0,4.0,1.0,1.0,1.0,,,
lachaca01,1903,BOS,AL,WS,1B,100.0,100.0,213.0,85.0,10.0,38.0,24.0,1.0,,,
leachto01,1903,PIT,NL,WS,3B,100.0,100.0,210.0,6.0,49.0,50.0,1.0,1.0,,,
leevesa01,1903,PIT,NL,WS,P,15.0,26.0,31.0,1.0,7.0,1.0,1.0,1.0,,,
parenfr01,1903,BOS,AL,WS,SS,100.0,100.0,213.0,18.0,85.0,38.0,16.0,1.0,,,
phelped01,1903,PIT,NL,WS,C,86.0,88.0,186.0,40.0,16.0,26.0,1.0,1.0,1.0,,
phillde01,1903,PIT,NL,WS,P,58.0,63.0,132.0,3.0,28.0,13.0,1.0,1.0,,,
ritchcl01,1903,PIT,NL,WS,2B,100.0,100.0,210.0,23.0,88.0,1.0,39.0,1.0,,,
sebriji01,1903,PIT,NL,WS,RF,100.0,100.0,210.0,15.0,4.0,1.0,1.0,1.0,,,
smithha03,1903,PIT,NL,WS,C,1.0,13.0,25.0,3.0,4.0,13.0,1.0,1.0,1.0,,
stahlch01,1903,BOS,AL,WS,CF,100.0,100.0,213.0,16.0,4.0,1.0,1.0,1.0,,,
thompgu01,1903,PIT,NL,WS,P,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,,,
veilbu01,1903,PIT,NL,WS,P,1.0,1.0,22.0,1.0,1.0,13.0,1.0,1.0,,,
wagneho01,1903,PIT,NL,WS,SS,100.0,100.0,210.0,14.0,91.0,75.0,31.0,1.0,,,
youngcy01,1903,BOS,AL,WS,P,43.0,38.0,103.0,1.0,25.0,13.0,1.0,1.0,,,
amesre01,1905,NY1,NL,WS,P,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,,,
bendech01,1905,PHA,AL,WS,P,15.0,26.0,52.0,1.0,13.0,1.0,1.0,1.0,,,
bresnro01,1905,NY1,NL,WS,C,58.0,63.0,135.0,30.0,25.0,13.0,9.0,1.0,1.0,,
brownge01,1905,NY1,NL,WS,RF,58.0,63.0,135.0,4.0,1.0,13.0,1.0,1.0,,,
coaklan01,1905,PHA,AL,WS,P,1.0,13.0,28.0,1.0,7.0,1.0,9.0,1.0,,,
crossla01,1905,PHA,AL,WS,3B,58.0,63.0,129.0,8.0,19.0,1.0,9.0,1.0,,,
crossmo01,1905,PHA,AL,WS,SS,58.0,63.0,129.0,15.0,37.0,26.0,1.0,1.0,,,
dahlebi01,1905,NY1,NL,WS,SS,58.0,63.0,135.0,12.0,58.0,1.0,24.0,1.0,,,
davisha01,1905,PHA,AL,WS,1B,58.0,63.0,129.0,56.0,4.0,1.0,16.0,1.0,,,
devliar01,1905,NY1,NL,WS,3B,58.0,63.0,135.0,9.0,49.0,13.0,1.0,1.0,,,
donlimi01,1905,NY1,NL,WS,CF,58.0,63.0,135.0,18.0,1.0,1.0,1.0,1.0,,,
gilbebi02,1905,NY1,NL,WS,2B,58.0,63.0,135.0,11.0,46.0,1.0,1.0,1.0,,,
hartsto01,1905,PHA,AL,WS,LF,58.0,63.0,129.0,11.0,4.0,13.0,9.0,1.0,,,
lordbr01,1905,PHA,AL,WS,CF,58.0,63.0,129.0,14.0,1.0,1.0,1.0,1.0,,,
mathech01,1905,NY1,NL,WS,P,29.0,38.0,82.0,2.0,28.0,26.0,1.0,1.0,,,
mcganda01,1905,NY1,NL,WS,1B,58.0,63.0,135.0,65.0,4.0,13.0,16.0,1.0,,,
mcginjo01,1905,NY1,NL,WS,P,15.0,26.0,52.0,1.0,19.0,1.0,1.0,1.0,,,
mertesa01,1905,NY1,NL,WS,LF,58.0,63.0,135.0,4.0,4.0,1.0,1.0,1.0,,,
murphda02,1905,PHA,AL,WS,2B,58.0,63.0,129.0,4.0,37.0,50.0,1.0,1.0,,,
planked01,1905,PHA,AL,WS,P,15.0,26.0,52.0,2.0,19.0,1.0,1.0,1.0,,,
powerdo01,1905,PHA,AL,WS,C,29.0,26.0,61.0,15.0,16.0,1.0,9.0,1.0,1.0,,
schreos01,1905,PHA,AL,WS,C,29.0,38.0,70.0,19.0,13.0,1.0,9.0,1.0,1.0,,
seyboso01,1905,PHA,AL,WS,RF,58.0,63.0,129.0,5.0,4.0,1.0,9.0,1.0,,,
altroni01,1906,CHA,AL,WS,P,15.0,26.0,55.0,8.0,34.0,1.0,9.0,1.0,,,
brownmo01,1906,CHN,NL,WS,P,29.0,38.0,60.0,2.0,34.0,13.0,1.0,1.0,,,
chancfr01,1906,CHN,NL,WS,1B,72.0,75.0,159.0,67.0,7.0,1.0,9.0,1.0,,,
davisge01,1906,CHA,AL,WS,SS,29.0,38.0,82.0,9.0,46.0,26.0,9.0,1.0,,,
donahji02,1906,CHA,AL,WS,1B,72.0,75.0,162.0,88.0,28.0,13.0,16.0,1.0,,,
doughpa01,1906,CHA,AL,WS,LF,72.0,75.0,162.0,5.0,1.0,13.0,1.0,1.0,,,
eversjo01,1906,CHN,NL,WS,2B,72.0,75.0,159.0,15.0,58.0,13.0,24.0,1.0,,,
hahned01,1906,CHA,AL,WS,RF,72.0,75.0,150.0,4.0,1.0,1.0,1.0,1.0,,,
hofmaso01,1906,CHN,NL,WS,CF,72.0,75.0,159.0,12.0,4.0,1.0,1.0,1.0,,,
isbelfr01,1906,CHA,AL,WS,2B,72.0,75.0,162.0,13.0,49.0,63.0,1.0,1.0,,,
jonesfi01,1906,CHA,AL,WS,CF,72.0,75.0,162.0,11.0,1.0,1.0,1.0,1.0,,,
klingjo01,1906,CHN,NL,WS,C,72.0,75.0,159.0,50.0,28.0,13.0,24.0,1.0,60.0,,
oneilbi01,1906,CHA,AL,WS,RF,1.0,1.0,13.0,2.0,1.0,1.0,1.0,1.0,,,
overaor01,1906,CHN,NL,WS,P,15.0,1.0,37.0,1.0,7.0,1.0,1.0,1.0,,,
owenfr01,1906,CHA,AL,WS,P,1.0,1.0,19.0,1.0,13.0,1.0,1.0,1.0,,,
pfiesja01,1906,CHN,NL,WS,P,15.0,13.0,32.0,1.0,7.0,13.0,1.0,1.0,,,
reulbed01,1906,CHN,NL,WS,P,15.0,26.0,34.0,1.0,13.0,1.0,1.0,1.0,,,
rohege01,1906,CHA,AL,WS,3B,72.0,75.0,162.0,5.0,52.0,38.0,1.0,1.0,,,
schulfr01,1906,CHN,NL,WS,RF,72.0,75.0,159.0,8.0,4.0,1.0,9.0,1.0,,,
sheckji01,1906,CHN,NL,WS,LF,72.0,75.0,159.0,12.0,4.0,1.0,9.0,1.0,,,
steinha01,1906,CHN,NL,WS,3B,72.0,75.0,159.0,4.0,28.0,13.0,1.0,1.0,,,
sullibi03,1906,CHA,AL,WS,C,72.0,75.0,162.0,39.0,31.0,26.0,9.0,1.0,1.0,,
tannele01,1906,CHA,AL,WS,SS,29.0,38.0,82.0,2.0,25.0,1.0,1.0,1.0,,,
tinkejo01,1906,CHN,NL,WS,SS,72.0,75.0,159.0,12.0,61.0,26.0,1.0,1.0,,,
walshed01,1906,CHA,AL,WS,P,15.0,26.0,46.0,1.0,16.0,13.0,1.0,1.0,,,
whitedo01,1906,CHA,AL,WS,P,29.0,26.0,46.0,2.0,10.0,1.0,1.0,1.0,,,
archeji01,1907,DET,AL,WS,C,1.0,13.0,28.0,5.0,4.0,1.0,1.0,1.0,1.0,,
brownmo01,1907,CHN,NL,WS,P,1.0,13.0,28.0,2.0,4.0,1.0,1.0,1.0,,,
chancfr01,1907,CHN,NL,WS,1B,43.0,50.0,117.0,49.0,4.0,1.0,24.0,1.0,,,
cobbty01,1907,DET,AL,WS,RF,58.0,63.0,138.0,12.0,1.0,1.0,1.0,1.0,,,
coughbi01,1907,DET,AL,WS,3B,58.0,63.0,138.0,11.0,22.0,26.0,1.0,1.0,,,
crawfsa01,1907,DET,AL,WS,CF,58.0,63.0,138.0,8.0,7.0,1.0,9.0,1.0,,,
donovbi01,1907,DET,AL,WS,P,15.0,26.0,64.0,3.0,10.0,1.0,1.0,1.0,,,
eversjo01,1907,CHN,NL,WS,2B,58.0,63.0,135.0,13.0,37.0,26.0,16.0,1.0,,,
eversjo01,1907,CHN,NL,WS,SS,1.0,1.0,10.0,1.0,1.0,13.0,1.0,1.0,,,
howarde01,1907,CHN,NL,WS,1B,1.0,13.0,28.0,12.0,4.0,1.0,1.0,1.0,,,
jonesda01,1907,DET,AL,WS,LF,58.0,63.0,138.0,12.0,7.0,13.0,1.0,1.0,,,
killied01,1907,DET,AL,WS,P,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,
klingjo01,1907,CHN,NL,WS,C,58.0,63.0,144.0,28.0,31.0,13.0,1.0,1.0,1.0,,
mullige01,1907,DET,AL,WS,P,15.0,26.0,52.0,2.0,16.0,1.0,1.0,1.0,,,
olearch01,1907,DET,AL,WS,SS,58.0,63.0,138.0,14.0,46.0,26.0,1.0,1.0,,,
overaor01,1907,CHN,NL,WS,P,15.0,26.0,55.0,1.0,22.0,1.0,1.0,1.0,,,
paynefr01,1907,DET,AL,WS,C,1.0,13.0,25.0,8.0,4.0,13.0,1.0,1.0,1.0,,
pfiesja01,1907,CHN,NL,WS,P,1.0,13.0,28.0,1.0,1.0,1.0,1.0,1.0,,,
reulbed01,1907,CHN,NL,WS,P,15.0,13.0,37.0,2.0,10.0,1.0,1.0,1.0,,,
rossmcl01,1907,DET,AL,WS,1B,58.0,63.0,138.0,52.0,13.0,13.0,9.0,1.0,,,
schaege01,1907,DET,AL,WS,2B,58.0,63.0,138.0,13.0,55.0,1.0,16.0,1.0,,,
schmibo01,1907,DET,AL,WS,C,29.0,38.0,88.0,23.0,19.0,26.0,1.0,1.0,1.0,,
schulfr01,1907,CHN,NL,WS,RF,58.0,63.0,144.0,5.0,7.0,13.0,1.0,1.0,,,
sheckji01,1907,CHN,NL,WS,LF,58.0,63.0,144.0,12.0,1.0,1.0,1.0,1.0,,,
sieveed01,1907,DET,AL,WS,P,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,,,
slaglji01,1907,CHN,NL,WS,CF,58.0,63.0,144.0,15.0,1.0,13.0,1.0,1.0,,,
steinha01,1907,CHN,NL,WS,3B,58.0,63.0,144.0,11.0,19.0,13.0,9.0,1.0,,,
tinkejo01,1907,CHN,NL,WS,SS,58.0,63.0,135.0,18.0,70.0,38.0,39.0,1.0,,,
zimmehe01,1907,CHN,NL,WS,2B,1.0,1.0,10.0,1.0,7.0,1.0,1.0,1.0,,,
brownmo01,1908,CHN,NL,WS,P,15.0,13.0,34.0,1.0,19.0,1.0,9.0,1.0,,,
chancfr01,1908,CHN,NL,WS,1B,58.0,63.0,135.0,72.0,1.0,13.0,24.0,1.0,,,
cobbty01,1908,DET,AL,WS,RF,58.0,63.0,132.0,4.0,1.0,13.0,1.0,1.0,,,
coughbi01,1908,DET,AL,WS,3B,29.0,38.0,82.0,4.0,19.0,13.0,9.0,1.0,,,
crawfsa01,1908,DET,AL,WS,CF,58.0,63.0,132.0,18.0,1.0,1.0,1.0,1.0,,,
donovbi01,1908,DET,AL,WS,P,15.0,26.0,52.0,2.0,7.0,13.0,1.0,1.0,,,
downsre01,1908,DET,AL,WS,2B,15.0,26.0,52.0,3.0,25.0,13.0,9.0,1.0,,,
eversjo01,1908,CHN,NL,WS,2B,58.0,63.0,135.0,6.0,61.0,13.0,9.0,1.0,,,
hofmaso01,1908,CHN,NL,WS,CF,58.0,63.0,135.0,12.0,4.0,1.0,9.0,1.0,,,
killied01,1908,DET,AL,WS,P,1.0,13.0,8.0,1.0,4.0,1.0,1.0,1.0,,,
klingjo01,1908,CHN,NL,WS,C,58.0,63.0,135.0,37.0,16.0,1.0,9.0,1.0,21.0,,
mcintma01,1908,DET,AL,WS,LF,58.0,63.0,132.0,12.0,1.0,13.0,1.0,1.0,,,
mullige01,1908,DET,AL,WS,P,1.0,13.0,28.0,1.0,4.0,1.0,1.0,1.0,,,
olearch01,1908,DET,AL,WS,SS,58.0,63.0,132.0,9.0,37.0,13.0,24.0,1.0,,,
overaor01,1908,CHN,NL,WS,P,29.0,26.0,56.0,1.0,7.0,1.0,1.0,1.0,,,
pfiesja01,1908,CHN,NL,WS,P,1.0,13.0,25.0,1.0,1.0,1.0,1.0,1.0,,,
reulbed01,1908,CHN,NL,WS,P,15.0,13.0,24.0,1.0,16.0,1.0,1.0,1.0,,,
rossmcl01,1908,DET,AL,WS,1B,58.0,63.0,132.0,53.0,16.0,26.0,31.0,1.0,,,
schaege01,1908,DET,AL,WS,2B,29.0,38.0,82.0,12.0,25.0,1.0,24.0,1.0,,,
schaege01,1908,DET,AL,WS,3B,15.0,26.0,52.0,2.0,10.0,13.0,1.0,1.0,,,
schmibo01,1908,DET,AL,WS,C,43.0,50.0,106.0,25.0,22.0,1.0,9.0,1.0,21.0,,
schulfr01,1908,CHN,NL,WS,RF,58.0,63.0,135.0,4.0,4.0,1.0,1.0,1.0,,,
sheckji01,1908,CHN,NL,WS,LF,58.0,63.0,135.0,9.0,1.0,1.0,1.0,1.0,,,
steinha01,1908,CHN,NL,WS,3B,58.0,63.0,135.0,5.0,34.0,1.0,1.0,1.0,,,
summeed01,1908,DET,AL,WS,P,15.0,13.0,45.0,1.0,22.0,1.0,1.0,1.0,,,
thomair01,1908,DET,AL,WS,C,1.0,13.0,28.0,11.0,7.0,1.0,1.0,1.0,1.0,,
tinkejo01,1908,CHN,NL,WS,SS,58.0,63.0,135.0,10.0,61.0,1.0,16.0,1.0,,,
wintege01,1908,DET,AL,WS,P,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
abstebi01,1909,PIT,NL,WS,1B,86.0,88.0,183.0,77.0,13.0,63.0,24.0,1.0,,,
adamsba01,1909,PIT,NL,WS,P,29.0,38.0,82.0,1.0,16.0,1.0,1.0,1.0,,,
bushdo01,1909,DET,AL,WS,SS,86.0,88.0,183.0,11.0,55.0,63.0,24.0,1.0,,,
byrnebo01,1909,PIT,NL,WS,3B,72.0,88.0,156.0,13.0,46.0,1.0,16.0,1.0,,,
camniho01,1909,PIT,NL,WS,P,15.0,13.0,11.0,1.0,7.0,1.0,1.0,1.0,,,
clarkfr01,1909,PIT,NL,WS,LF,86.0,88.0,183.0,22.0,1.0,13.0,1.0,1.0,,,
cobbty01,1909,DET,AL,WS,RF,86.0,88.0,183.0,10.0,1.0,13.0,1.0,1.0,,,
crawfsa01,1909,DET,AL,WS,1B,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,,,
crawfsa01,1909,DET,AL,WS,CF,86.0,88.0,180.0,19.0,1.0,26.0,1.0,1.0,,,
delahji01,1909,DET,AL,WS,2B,86.0,88.0,183.0,12.0,52.0,26.0,9.0,1.0,,,
donovbi01,1909,DET,AL,WS,P,15.0,26.0,37.0,1.0,16.0,13.0,1.0,1.0,,,
gibsoge01,1909,PIT,NL,WS,C,86.0,88.0,183.0,31.0,31.0,1.0,1.0,1.0,1.0,,
hyattha01,1909,PIT,NL,WS,CF,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,,,
jonesda01,1909,DET,AL,WS,CF,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
jonesda01,1909,DET,AL,WS,LF,86.0,88.0,180.0,16.0,1.0,13.0,1.0,1.0,,,
jonesto01,1909,DET,AL,WS,1B,86.0,88.0,180.0,80.0,4.0,13.0,9.0,1.0,,,
leachto01,1909,PIT,NL,WS,3B,1.0,1.0,28.0,5.0,7.0,1.0,1.0,1.0,,,
leachto01,1909,PIT,NL,WS,CF,72.0,88.0,156.0,18.0,4.0,1.0,1.0,1.0,,,
leifile01,1909,PIT,NL,WS,P,1.0,13.0,13.0,1.0,16.0,1.0,1.0,1.0,,,
maddoni01,1909,PIT,NL,WS,P,1.0,13.0,28.0,1.0,4.0,1.0,1.0,1.0,,,
mcintma01,1909,DET,AL,WS,LF,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
milledo02,1909,PIT,NL,WS,2B,86.0,88.0,183.0,19.0,43.0,13.0,9.0,1.0,,,
moriage02,1909,DET,AL,WS,3B,86.0,88.0,162.0,9.0,46.0,1.0,16.0,1.0,,,
mullige01,1909,DET,AL,WS,P,43.0,38.0,97.0,1.0,37.0,1.0,1.0,1.0,,,
olearch01,1909,DET,AL,WS,3B,1.0,1.0,22.0,2.0,4.0,1.0,1.0,1.0,,,
phillde01,1909,PIT,NL,WS,P,15.0,1.0,19.0,2.0,7.0,26.0,1.0,1.0,,,
schmibo01,1909,DET,AL,WS,C,72.0,63.0,138.0,35.0,31.0,38.0,24.0,1.0,1.0,,
stanaos01,1909,DET,AL,WS,C,15.0,26.0,46.0,14.0,7.0,1.0,1.0,1.0,1.0,,
summeed01,1909,DET,AL,WS,P,15.0,26.0,23.0,1.0,7.0,1.0,1.0,1.0,,,
wagneho01,1909,PIT,NL,WS,SS,86.0,88.0,183.0,15.0,76.0,38.0,9.0,1.0,,,
willeed01,1909,DET,AL,WS,P,15.0,1.0,24.0,2.0,10.0,13.0,1.0,1.0,,,
willivi01,1909,PIT,NL,WS,P,15.0,13.0,36.0,2.0,7.0,1.0,1.0,1.0,,,
wilsoch01,1909,PIT,NL,WS,RF,86.0,88.0,183.0,4.0,4.0,1.0,1.0,1.0,,,
worksra01,1909,DET,AL,WS,P,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,,,
archeji01,1910,CHN,NL,WS,1B,1.0,1.0,21.0,11.0,1.0,1.0,9.0,1.0,,,
archeji01,1910,CHN,NL,WS,C,15.0,26.0,58.0,21.0,13.0,1.0,9.0,1.0,1.0,,
bakerfr01,1910,PHA,AL,WS,3B,58.0,63.0,137.0,10.0,34.0,26.0,16.0,1.0,,,
barryja01,1910,PHA,AL,WS,SS,58.0,63.0,137.0,11.0,37.0,1.0,9.0,1.0,,,
bendech01,1910,PHA,AL,WS,P,15.0,26.0,57.0,2.0,7.0,1.0,9.0,1.0,,,
brownmo01,1910,CHN,NL,WS,P,29.0,26.0,55.0,1.0,31.0,13.0,1.0,1.0,,,
chancfr01,1910,CHN,NL,WS,1B,58.0,63.0,112.0,58.0,10.0,1.0,16.0,1.0,,,
coleki01,1910,CHN,NL,WS,P,1.0,13.0,25.0,2.0,10.0,1.0,9.0,1.0,,,
collied01,1910,PHA,AL,WS,2B,58.0,63.0,137.0,19.0,55.0,1.0,31.0,1.0,,,
coombja01,1910,PHA,AL,WS,P,29.0,38.0,82.0,2.0,10.0,26.0,1.0,1.0,,,
davisha01,1910,PHA,AL,WS,1B,58.0,63.0,137.0,49.0,7.0,38.0,47.0,1.0,,,
hartsto01,1910,PHA,AL,WS,LF,1.0,13.0,28.0,3.0,1.0,1.0,1.0,1.0,,,
hofmaso01,1910,CHN,NL,WS,CF,58.0,63.0,132.0,9.0,1.0,1.0,1.0,1.0,,,
klingjo01,1910,CHN,NL,WS,C,29.0,38.0,76.0,13.0,22.0,1.0,1.0,1.0,1.0,,
lappja01,1910,PHA,AL,WS,C,1.0,13.0,28.0,5.0,7.0,1.0,1.0,1.0,1.0,,
lordbr01,1910,PHA,AL,WS,CF,1.0,13.0,28.0,6.0,1.0,1.0,1.0,1.0,,,
lordbr01,1910,PHA,AL,WS,LF,43.0,50.0,111.0,8.0,1.0,1.0,1.0,1.0,,,
mcintha01,1910,CHN,NL,WS,P,15.0,1.0,17.0,1.0,4.0,13.0,1.0,1.0,,,
murphda02,1910,PHA,AL,WS,RF,58.0,63.0,137.0,8.0,7.0,1.0,16.0,1.0,,,
overaor01,1910,CHN,NL,WS,P,1.0,13.0,10.0,1.0,1.0,1.0,1.0,1.0,,,
pfiesja01,1910,CHN,NL,WS,P,1.0,1.0,21.0,1.0,4.0,1.0,1.0,1.0,,,
reulbed01,1910,CHN,NL,WS,P,1.0,13.0,7.0,1.0,4.0,1.0,1.0,1.0,,,
richile01,1910,CHN,NL,WS,P,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,
schulfr01,1910,CHN,NL,WS,RF,58.0,63.0,132.0,5.0,1.0,1.0,1.0,1.0,,,
sheckji01,1910,CHN,NL,WS,LF,58.0,63.0,132.0,9.0,7.0,13.0,1.0,1.0,,,
steinha01,1910,CHN,NL,WS,3B,58.0,63.0,132.0,3.0,37.0,50.0,1.0,1.0,,,
strunam01,1910,PHA,AL,WS,CF,43.0,50.0,111.0,9.0,1.0,13.0,1.0,1.0,,,
thomair01,1910,PHA,AL,WS,C,43.0,50.0,111.0,30.0,25.0,13.0,9.0,1.0,1.0,,
tinkejo01,1910,CHN,NL,WS,SS,58.0,63.0,132.0,12.0,43.0,13.0,16.0,1.0,,,
zimmehe01,1910,CHN,NL,WS,2B,58.0,63.0,132.0,13.0,55.0,13.0,9.0,1.0,,,
amesre01,1911,NY1,NL,WS,P,15.0,13.0,25.0,1.0,4.0,13.0,1.0,1.0,,,
bakerfr01,1911,PHA,AL,WS,3B,72.0,75.0,167.0,12.0,34.0,26.0,9.0,1.0,,,
barryja01,1911,PHA,AL,WS,SS,72.0,75.0,167.0,10.0,37.0,38.0,1.0,1.0,,,
bendech01,1911,PHA,AL,WS,P,29.0,38.0,79.0,2.0,19.0,1.0,1.0,1.0,,,
collied01,1911,PHA,AL,WS,2B,72.0,75.0,167.0,15.0,67.0,38.0,9.0,1.0,,,
coombja01,1911,PHA,AL,WS,P,15.0,26.0,61.0,2.0,7.0,1.0,1.0,1.0,,,
cranddo01,1911,NY1,NL,WS,P,15.0,1.0,13.0,1.0,7.0,1.0,1.0,1.0,,,
davisha01,1911,PHA,AL,WS,1B,72.0,75.0,166.0,60.0,10.0,1.0,9.0,1.0,,,
devorjo01,1911,NY1,NL,WS,LF,72.0,75.0,162.0,17.0,1.0,13.0,1.0,1.0,,,
doylela01,1911,NY1,NL,WS,2B,72.0,75.0,162.0,15.0,43.0,13.0,16.0,1.0,,,
fletcar01,1911,NY1,NL,WS,SS,72.0,75.0,162.0,13.0,55.0,50.0,9.0,1.0,,,
herzobu01,1911,NY1,NL,WS,3B,72.0,75.0,162.0,9.0,43.0,38.0,1.0,1.0,,,
lappja01,1911,PHA,AL,WS,C,15.0,26.0,63.0,21.0,22.0,1.0,9.0,1.0,1.0,,
lordbr01,1911,PHA,AL,WS,LF,72.0,75.0,167.0,16.0,4.0,1.0,1.0,1.0,,,
marquru01,1911,NY1,NL,WS,P,29.0,26.0,36.0,1.0,7.0,1.0,1.0,1.0,,,
mathech01,1911,NY1,NL,WS,P,29.0,38.0,82.0,3.0,28.0,13.0,1.0,1.0,,,
mcinnst01,1911,PHA,AL,WS,1B,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,
merklfr01,1911,NY1,NL,WS,1B,72.0,75.0,162.0,68.0,13.0,26.0,1.0,1.0,,,
meyerch01,1911,NY1,NL,WS,C,72.0,75.0,159.0,41.0,37.0,1.0,9.0,1.0,21.0,,
murphda02,1911,PHA,AL,WS,RF,72.0,75.0,167.0,10.0,1.0,13.0,1.0,1.0,,,
murrare01,1911,NY1,NL,WS,RF,72.0,75.0,162.0,5.0,4.0,38.0,1.0,1.0,,,
oldriru01,1911,PHA,AL,WS,CF,72.0,75.0,167.0,10.0,1.0,13.0,1.0,1.0,,,
planked01,1911,PHA,AL,WS,P,15.0,13.0,30.0,1.0,7.0,1.0,1.0,1.0,,,
snodgfr01,1911,NY1,NL,WS,CF,72.0,75.0,162.0,12.0,1.0,1.0,1.0,1.0,,,
thomair01,1911,PHA,AL,WS,C,43.0,50.0,106.0,35.0,16.0,1.0,1.0,1.0,1.0,,
wilsoar01,1911,NY1,NL,WS,C,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,
wiltsho01,1911,NY1,NL,WS,P,15.0,1.0,11.0,1.0,7.0,1.0,1.0,1.0,,,
amesre01,1912,NY1,NL,WS,P,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,,,
beckebe01,1912,NY1,NL,WS,CF,1.0,13.0,34.0,1.0,4.0,1.0,1.0,1.0,,,
bediehu01,1912,BOS,AL,WS,P,43.0,26.0,55.0,1.0,4.0,1.0,1.0,1.0,,,
cadyhi01,1912,BOS,AL,WS,C,86.0,75.0,165.0,39.0,25.0,13.0,1.0,1.0,1.0,,
carribi02,1912,BOS,AL,WS,C,15.0,26.0,58.0,12.0,13.0,1.0,1.0,1.0,1.0,,
collira01,1912,BOS,AL,WS,P,15.0,13.0,44.0,1.0,10.0,1.0,1.0,1.0,,,
cranddo01,1912,NY1,NL,WS,P,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,,,
devorjo01,1912,NY1,NL,WS,LF,43.0,50.0,106.0,4.0,1.0,1.0,1.0,1.0,,,
devorjo01,1912,NY1,NL,WS,RF,29.0,38.0,84.0,11.0,7.0,13.0,9.0,1.0,,,
doylela01,1912,NY1,NL,WS,2B,100.0,100.0,221.0,17.0,79.0,63.0,9.0,1.0,,,
fletcar01,1912,NY1,NL,WS,SS,100.0,100.0,204.0,18.0,73.0,50.0,24.0,1.0,,,
gardnla01,1912,BOS,AL,WS,3B,100.0,100.0,222.0,11.0,40.0,38.0,1.0,1.0,,,
hallch02,1912,BOS,AL,WS,P,15.0,1.0,33.0,1.0,16.0,13.0,1.0,1.0,,,
herzobu01,1912,NY1,NL,WS,3B,100.0,100.0,221.0,13.0,46.0,1.0,9.0,1.0,,,
hoopeha01,1912,BOS,AL,WS,RF,100.0,100.0,222.0,18.0,7.0,1.0,9.0,1.0,,,
lewisdu01,1912,BOS,AL,WS,LF,100.0,100.0,222.0,16.0,1.0,13.0,1.0,1.0,,,
marquru01,1912,NY1,NL,WS,P,15.0,26.0,55.0,1.0,13.0,13.0,1.0,1.0,,,
mathech01,1912,NY1,NL,WS,P,29.0,38.0,87.0,2.0,37.0,1.0,1.0,1.0,,,
merklfr01,1912,NY1,NL,WS,1B,100.0,100.0,221.0,91.0,4.0,26.0,16.0,1.0,,,
meyerch01,1912,NY1,NL,WS,C,100.0,100.0,206.0,47.0,16.0,13.0,9.0,1.0,1.0,,
murrare01,1912,NY1,NL,WS,LF,43.0,38.0,104.0,11.0,1.0,1.0,1.0,1.0,,,
murrare01,1912,NY1,NL,WS,RF,58.0,63.0,118.0,14.0,4.0,1.0,1.0,1.0,,,
obriebu01,1912,BOS,AL,WS,P,15.0,26.0,28.0,2.0,19.0,1.0,1.0,1.0,,,
shafeti01,1912,NY1,NL,WS,SS,29.0,1.0,18.0,2.0,13.0,1.0,1.0,1.0,,,
